step,track,model,dataset,Memory in Mb,Time in s,Valid updates,Accuracy,F1
4535,Binary classification,CSMOTE,elec2,625.71875,0.5276687499990658,907,0.5891951488423374,
5442,Binary classification,CSMOTE,elec2,625.71875,0.6138104999990901,907,0.5922454979786843,
6349,Binary classification,CSMOTE,elec2,625.71875,0.7332024589995854,907,0.5917467317687825,
7256,Binary classification,CSMOTE,elec2,625.71875,0.8586587089994282,907,0.5919239250275634,
8163,Binary classification,CSMOTE,elec2,625.71875,1.0245694999994155,907,0.5763812323900527,
9070,Binary classification,CSMOTE,elec2,648.03125,1.2132154589999118,907,0.5682469680264609,
9977,Binary classification,CSMOTE,elec2,687.71875,1.302076292000493,907,0.5605893555176907,
10884,Binary classification,CSMOTE,elec2,743.8125,1.397247499999139,907,0.5556780595369349,
11791,Binary classification,CSMOTE,elec2,793.3125,1.4899420420006209,907,0.558476804,
12698,Binary classification,CSMOTE,elec2,813.265625,1.5701048749997426,907,0.558276894,
13605,Binary classification,CSMOTE,elec2,848.421875,1.655247083999711,907,0.5555310547592797,
14512,Binary classification,CSMOTE,elec2,636.484375,1.8787937090000923,907,0.550303197,
15419,Binary classification,CSMOTE,elec2,636.5,2.0061434590006684,907,0.5487385692976198,
16326,Binary classification,CSMOTE,elec2,636.5,2.130086041999675,907,0.5505941443096901,
17233,Binary classification,CSMOTE,elec2,636.5,2.2651292089994968,907,0.5573028491847037,
18140,Binary classification,CSMOTE,elec2,636.5,2.392438625000068,907,0.5577728776185226,
19047,Binary classification,CSMOTE,elec2,636.5,2.578013333999479,907,0.5615582506431459,
19954,Binary classification,CSMOTE,elec2,636.515625,2.713584708999406,907,0.5590357822992884,
20861,Binary classification,CSMOTE,elec2,636.515625,2.834318875000463,907,0.5588418580125594,
21768,Binary classification,CSMOTE,elec2,636.5625,2.9594194170003902,907,0.5570102903344358,
22675,Binary classification,CSMOTE,elec2,636.5625,3.047955624999304,907,0.5558103638368247,
23582,Binary classification,CSMOTE,elec2,664.6875,3.169519291999677,907,0.5566957849207023,
24489,Binary classification,CSMOTE,elec2,680.796875,3.2478267089991277,907,0.5565764220670505,
25396,Binary classification,CSMOTE,elec2,727.640625,3.338431459000276,907,0.5551267916207276,
26303,Binary classification,CSMOTE,elec2,788.34375,3.4357159999999567,907,0.5567045584153899,
27210,Binary classification,CSMOTE,elec2,848.484375,3.532875917000638,907,0.5552370452039691,
28117,Binary classification,CSMOTE,elec2,860.75,3.6123059170004126,907,0.5580965252338443,
29024,Binary classification,CSMOTE,elec2,647.203125,3.846439791999728,907,0.5600537486218302,
29931,Binary classification,CSMOTE,elec2,647.21875,3.9725580840004113,907,0.5612575590524874,
30838,Binary classification,CSMOTE,elec2,647.25,4.156829834000746,907,0.563363383,
31745,Binary classification,CSMOTE,elec2,647.25,4.341961791998983,907,0.5636793195778863,
32652,Binary classification,CSMOTE,elec2,647.25,4.420967916999871,907,0.5633958103638368,
33559,Binary classification,CSMOTE,elec2,647.25,4.541402917000596,907,0.5639023808814327,
34466,Binary classification,CSMOTE,elec2,647.28125,4.617369458999747,907,0.5645273602971044,
35373,Binary classification,CSMOTE,elec2,647.296875,4.737044999999853,907,0.5596924207729059,
36280,Binary classification,CSMOTE,elec2,647.296875,4.871584417000122,907,0.5532800441014333,
37187,Binary classification,CSMOTE,elec2,759.515625,5.030543834000127,907,0.5489821711888563,
38094,Binary classification,CSMOTE,elec2,830.78125,5.130299959000695,907,0.5484328240667822,
39001,Binary classification,CSMOTE,elec2,659.671875,5.3174794589995145,907,0.5482423527601856,
39908,Binary classification,CSMOTE,elec2,659.6875,5.503379042000233,907,0.5464317931241857,
40815,Binary classification,CSMOTE,elec2,659.6875,5.624923499999568,907,0.5443586916574789,
41722,Binary classification,CSMOTE,elec2,659.6875,5.759494083999016,907,0.542519534,
42629,Binary classification,CSMOTE,elec2,659.6875,5.896166833999814,907,0.5429637101503672,
43536,Binary classification,CSMOTE,elec2,659.6875,6.054774666999947,907,0.543917677,
44443,Binary classification,CSMOTE,elec2,659.6875,6.188301500000307,907,0.5455077290011925,
25,Binary classification,CSMOTE,phishing,609.1875,0.002931625,25,0.48,
